Commental title,Review main body
"Space and symbol metaphor analysis of ""squid game"", social rules of ""concentrated"" in human nature","(First, the public number: ___, welcome attention!) Use ""contrast"" to form tension, space metaphor, ""Chu Gate's world"" compare the works of other murderous games, ""squid game"" 6 game design is very "" Pediatrics, they are only children who will play: a two-three wood people, buckle cake, tug-of-war, marble, overwood bridge, squid game. Pediatric games become horrible"
I hate those reasonable comments,"The game design in this TV series is a morphological change in your real world. Every time, everyone is emphasizing that people are not numbers, people are not symbols, people are real people. But I think it is, the more emphasizes what is, the more fear what, the more it is, the more it will become. Say that we are numbers. When the Africa's corner passed the river, he was bite the neck by the crocodile."
"I am gambling horses, I don't work, I am old but I know I am a good father.","The Father is the father of all beings. I was originally with ""Wow! Net Flight + Korea, this play is not the bottom line to fight! Looking forward to expectation !!"" Who knows a little bit "", this! This is also necessary to shoot second Department? ""The male master made him ten years because of a strike incident, it can understand but I don't accept it; the wisdom that the wife will not be accompanied by the wife, it is actually accompanying a coma."
"The man is not the Father, but fake, bad, not self-knowledge! !","After reading my biggest question, how can people be a man? If the highlighter of the drama is that the last so-called ""believe in people"", the nine episodes, there is no statement point. First of all, the male owner is not as good as he thinks. Before you participate in the game, although there is also a matter of feeding cats, you will take the character of the male, but compared to the man's mother, the daughter's practice, root"
"Kong Liu fan Li Zheng slaughtered the result of the ear, fan unwaken","I as an example, let's talk about the plot and the scenery I see from this drama. Handsome Li Zhija Ouba is a full-end LOSER, unemployment, old, and the debt, hundreds of millions of debts have also been chased by people who have given up the body, is the most ""bad"" person of the underlying livestock ... one day, In the subway, he got a chance to change reality. Suddenly, Kong Liu suddenly appeared, and he took the initiative to invite Li Zhengzai."
discover,"For the sake of fair, we can't announce the content of the game in advance. "" When you come, the tips are all on the wall of the dormitory. It is not easy to be seen by the bed. It is not easy to be seen, and there is less people, but no one has a thought and then pay attention."
"The first 8 episodes have more exciting, and the 9th episode has Doramen.","The whole drama is still very cool, says a few imperfect places 1. The brother of winners can give the kidney to your brother. It can make a ruthless and kill the brothers. This emotion cannot explain 2. That looks at the old man's fat, I have been got, I can't come out afterwards, nor Zhang, other VIPs don't look for him 3.456 to the emotion of Korean women, it is a bit too full."
"I want to take a little, and I have a bad makeup.","I have been discussing this, but I seem to have known yen, 4 stars 5 stars don't work softly, this is a drama? Why do I have a lot of heart? I want to express too much, I will learn too much, a lot of bridges, such as ""hunger game"" ""big escape"" ""moving maze"", the story is too drag, 9 episodes In fact, it can be reduced again. What is the director who is talking about? human's"
"""Squid game"": How far is ordinary people and evil?","Recently, the Korean drama ""squid game"" has become explosive. Why is this drama burst? It fictitically a closure environment in a closed environment, watching is a replica of ""one or two wood people"", tug-of-war, playing beads, etc., in fact, this competition system has conducted a cruel killing competition. So we saw that the little people like the protagonist became a half-curious half."
A few words about squid game plagiarism,"0. Not for the sake of black, it is not a Korean drama, but it is just a truth from fact. 1. ""The squid game"" This kind of ""invited to play games, lost, win the grand prize"", from the comics ""gambling"" (in 1996); 2. "" Turn the childhood game into a horrible murderous activities, ""this idea comes from Jincheng Zongfu's comics"" is as good as God"
"""Squid Game"" and Latcoma Desire Theory",/
"The head is greater than the content, the treatment time can be",/
"All over the world, the world, the net fly is finally ±ï ÏÖ","Net fly! A long time, I have finally created a phenomenon of explosion. On the day of the broadcast, ""broken circles"" rushed to the microblogging, the entire small holiday continued to be hot. As of September 23, it has reached NetflixTvShow (Net Flight TV Program) The 2nd place in the world, the top of the US District. Korean media said it writes a new history of Korean drama and built a world explosion model. Rotten tomato freshness is 100%. now that"
Squid game - a successful entry,"I never gave a ""fresh"" to watch when I just went online. Just when it has reached a quite heat, the limeling is too lazy to see if I don't want to write something. As a result, if I can't find a special angle, I can't get my own film review. If I am the participant of the squid game, I am afraid I will send it for a while in the first game ""one or two wood people""."
Dating method for children and adults,/
"Color and symbols in ""Squid Games"" (severe spoiler, cautious)",Reading Guidelines: 1. Overall Evaluation 2. Color 2.212 Wood Man 2.3 Candy Cookies 2.4 Tutoring River 2.5 Seize the Collection of Violation Rules 2.6 Toning of Playing Ball 3. Symbolizing 3.1 Five Mask 3.2 Survival Games Down 3.3 Key portraint Female role 3.4 Equality 3.5 graphics 3.6 Symbolized people 3.7 Pig piggy bank 3.8 Last dinner 3.9 final
"Reality is hell, big escape is just a game.",/
How long can men's story?,"I have heard a lot of comments say ""squid game"" too long, there is ""big escape"", ""Alice of the country"" and so on, the most conspicuous element is just killing. Cruel to the bottom kill. Use the game to make a background, everyone puts up uniform uniforms, under the threat of the muzzle, become the beast of the beasts, the horse of the horse, becoming a cold number - pretending this is true"
"You can live a few episodes in ""squid game""?",/
"Men's looks, I frown","The suspense left: the police's brother, seeing the list should be a certain entrant, why did it become the host of the game? The police did not die? There is also a fan of the fan of the fan. BTW, I want to say the man, I think he can go to the end. He decided the second bureau to deceive his old man, and he was also indirectly killing (although not the last game, how is his last game, what is good to say"
Backbound,/
The second episode exposes the ending of the protagonist,"This egg is a foreign article revealed. Personally feel that it is very busy, share it here! Original website: [Massive'squidGame'Episode2eastereg"
